DateTime,River,P00,P01,P02,P03
03-Aug-2016 16:00:00,31.9077731958763,21.843587628866,21.676587628866,21.0957731958763,21.0789072164948
04-Aug-2016 16:00:00,31.7308144329897,21.8340103092783,21.7369896907217,21.1211855670103,21.1053505154639
05-Aug-2016 16:00:00,31.796206185567,21.8867835051546,21.7114742268041,21.1527319587629,21.1389896907216
06-Aug-2016 16:00:00,31.6775463917526,21.9586907216495,21.7296494845361,21.1917525773196,21.1785360824742
07-Aug-2016 16:00:00,31.5702783505155,22.0610618556701,21.7573711340206,21.3061546391753,21.2168453608247
08-Aug-2016 16:00:00,31.4685463917526,22.3574226804124,22.0397628865979,21.3989278350515,21.4831546391752
09-Aug-2016 16:00:00,31.5641855670103,22.2266288659794,21.8926082474227,21.3116804123711,21.2747835051546
10-Aug-2016 16:00:00,31.718175257732,22.2831649484536,21.8996804123711,21.345618556701,21.3107319587629
11-Aug-2016 16:00:00,31.5277010309278,25.0078041237113,21.9578350515464,21.4303917525773,21.365
12-Aug-2016 16:00:00,31.4648762886598,23.3338659793814,22.0513917525773,21.4559587628866,21.3998350515464
13-Aug-2016 16:00:00,30.5495154639175,23.0512164948454,22.0895051546392,21.4838144329897,21.4303298969072
14-Aug-2016 16:00:00,28.4958453608247,25.0764226804124,21.9161443298969,21.5902474226804,21.4967010309278
15-Aug-2016 16:00:00,27.1492164948453,26.7746597938144,22.5042886597938,23.2670927835051,24.5322989690722
16-Aug-2016 16:00:00,25.9761030927835,26.021,24.9688041237113,25.3950515463918,25.9147731958763
17-Aug-2016 16:00:00,26.4653092783505,25.3724948453608,24.6905773195876,24.2388144329897,24.3304742268041
18-Aug-2016 16:00:00,27.0641855670103,24.4848659793814,24.3468041237113,23.166206185567,22.9517835051546
19-Aug-2016 16:00:00,28.3142886597938,23.6500206185567,23.6444742268041,22.4701340206186,22.288618556701
20-Aug-2016 16:00:00,25.7711443298969,23.9300515463918,23.7886701030928,23.9681546391752,24.2290103092784
21-Aug-2016 16:00:00,26.3817731958763,24.0348659793814,23.2781958762887,22.895,22.9153917525773
22-Aug-2016 16:00:00,27.2336391752577,23.3274226804124,22.7448969072165,22.3774329896907,22.2414948453608
23-Aug-2016 16:00:00,28.0248659793814,23.0446597938144,22.5145257731959,22.2458762886598,22.1623505154639
24-Aug-2016 16:00:00,28.2624536082474,23.2844948453608,22.5039793814433,22.2741958762887,22.2029278350515
25-Aug-2016 16:00:00,28.9844845360825,22.7879896907216,22.380412371134,22.1243298969072,22.0672680412371
26-Aug-2016 16:00:00,29.1194536082474,22.6078041237113,22.2671030927835,22.0270927835052,21.9516701030928
27-Aug-2016 16:00:00,29.2000618556701,22.6268762886598,22.1456082474227,22.0134020618557,21.9707319587629
28-Aug-2016 16:00:00,28.586175257732,22.7042783505155,22.1577731958763,22.0277319587629,21.9982783505155
29-Aug-2016 16:00:00,28.3887113402062,22.7196391752577,22.1657319587629,22.0381958762887,22.014969072165
30-Aug-2016 16:00:00,28.835381443299,22.7344432989691,22.1873195876289,22.0424020618557,22.0264536082474
31-Aug-2016 16:00:00,29.3657319587629,22.6626597938144,22.2072680412371,22.0430927835052,22.039618556701
01-Sep-2016 16:00:00,29.4785567010309,22.5674845360825,22.202618556701,22.0551134020619,22.0552886597938
02-Sep-2016 16:00:00,29.2533608247423,22.5736494845361,22.2081030927835,22.0704536082474,22.0715773195876
03-Sep-2016 16:00:00,29.5342886597938,22.5773298969072,22.2305360824742,22.0890721649485,22.0920618556701
04-Sep-2016 16:00:00,29.4017731958763,22.6061649484536,22.2433505154639,22.1085154639175,22.1120103092784
05-Sep-2016 16:00:00,28.7765051546392,22.6460927835051,22.2679793814433,22.1295463917526,22.1350721649485
06-Sep-2016 16:00:00,29.129,22.6691546391753,22.2837731958763,22.1491030927835,22.1572989690722
07-Sep-2016 16:00:00,29.8432164948453,22.6660927835051,22.2965670103093,22.1687113402062,22.1820824742268
08-Sep-2016 16:00:00,29.8192783505155,22.6910618556701,22.3147835051546,22.1943608247423,22.2088865979381
09-Sep-2016 16:00:00,29.7524742268041,22.7338762886598,22.3350515463917,22.2212577319588,22.2316701030928
10-Sep-2016 16:00:00,29.0650515463917,22.776618556701,22.8325773195876,22.2427216494845,22.2640412371134
11-Sep-2016 16:00:00,29.1709381443299,22.7839381443299,22.8438041237113,22.2725567010309,22.2986082474227
12-Sep-2016 16:00:00,29.3452474226804,22.8091649484536,22.5195051546392,22.3062268041237,22.3330618556701
